customer_id,snapshot_date,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago
CUST00001,2025-09-30,1,4,0,0,0,2,0,20
CUST00002,2025-09-30,8,31,4,2,3,0,0,0
CUST00003,2025-09-30,1,3,0,0,0,0,0,26
CUST00004,2025-09-30,1,6,0,0,0,0,0,14
CUST00005,2025-09-30,18,95,4,1,1,3,1,9
CUST00006,2025-09-30,2,8,1,0,1,0,0,1
CUST00007,2025-09-30,11,61,3,2,2,10,3,12
CUST00008,2025-09-30,2,11,1,0,0,0,0,16
CUST00009,2025-09-30,11,57,3,3,2,0,0,6
CUST00010,2025-09-30,13,71,3,3,2,6,0,5
CUST00011,2025-09-30,10,34,2,1,0,0,0,0
CUST00012,2025-09-30,3,16,1,1,0,0,0,5
CUST00013,2025-09-30,4,22,1,0,0,2,0,21
CUST00014,2025-09-30,11,57,3,2,2,0,0,17
CUST00015,2025-09-30,6,23,2,0,1,0,0,11
CUST00016,2025-09-30,2,8,1,0,0,4,1,32
CUST00017,2025-09-30,4,23,1,1,0,9,4,47
CUST00018,2025-09-30,3,8,1,0,0,4,2,37
CUST00019,2025-09-30,5,27,2,0,1,3,1,0
CUST00020,2025-09-30,0,0,0,0,0,0,0,60
CUST00021,2025-09-30,3,14,1,1,0,2,0,18
CUST00022,2025-09-30,10,33,5,1,2,4,1,0
CUST00023,2025-09-30,3,15,1,1,1,4,1,7
CUST00024,2025-09-30,13,71,3,2,2,3,0,0
CUST00025,2025-09-30,11,54,2,3,1,6,1,29
CUST00026,2025-09-30,14,55,3,3,0,1,0,26
CUST00027,2025-09-30,11,44,3,2,1,5,2,18
CUST00028,2025-09-30,1,4,1,0,0,3,0,19
CUST00029,2025-09-30,1,6,0,0,0,0,0,0
CUST00030,2025-09-30,11,31,2,3,1,0,0,3
CUST00031,2025-09-30,6,35,3,0,1,0,0,9
CUST00032,2025-09-30,12,70,4,2,1,0,0,13
CUST00033,2025-09-30,7,41,2,2,1,3,0,7
CUST00034,2025-09-30,7,30,4,1,2,8,2,0
CUST00035,2025-09-30,6,25,2,1,1,8,0,25
CUST00036,2025-09-30,0,0,0,0,0,0,0,14
CUST00037,2025-09-30,5,28,2,0,0,3,0,28
CUST00038,2025-09-30,5,23,1,0,0,5,0,14
CUST00039,2025-09-30,6,20,1,1,0,3,1,4
CUST00040,2025-09-30,1,4,0,0,0,1,0,42
CUST00041,2025-09-30,5,19,1,1,0,4,2,22
CUST00042,2025-09-30,3,13,1,0,0,7,2,14
CUST00043,2025-09-30,3,16,0,0,0,0,0,0
CUST00044,2025-09-30,6,27,2,1,1,4,2,10
CUST00045,2025-09-30,6,16,1,1,0,3,1,10
CUST00046,2025-09-30,7,31,4,2,1,10,0,29
CUST00047,2025-09-30,2,9,1,0,0,3,1,36
CUST00048,2025-09-30,12,38,2,2,1,0,0,12
CUST00049,2025-09-30,4,13,1,1,1,3,1,0
CUST00050,2025-09-30,3,12,1,1,0,3,1,0
CUST00051,2025-09-30,6,32,2,1,1,8,2,35
CUST00052,2025-09-30,7,34,2,1,1,0,0,8
CUST00053,2025-09-30,9,29,2,2,1,3,1,5
CUST00054,2025-09-30,3,12,1,0,0,0,0,0
CUST00055,2025-09-30,6,32,2,1,1,7,2,0
CUST00056,2025-09-30,3,15,1,1,1,0,0,0
CUST00057,2025-09-30,7,21,1,0,0,9,1,29
CUST00058,2025-09-30,2,6,1,0,0,8,4,6
CUST00059,2025-09-30,3,11,1,0,0,0,0,2
CUST00060,2025-09-30,5,26,2,1,0,0,0,20
CUST00061,2025-09-30,4,19,2,0,1,2,1,15
CUST00062,2025-09-30,9,30,3,2,1,7,1,0
CUST00063,2025-09-30,0,0,0,0,0,3,0,24
CUST00064,2025-09-30,8,42,4,1,3,0,0,0
CUST00065,2025-09-30,3,18,0,1,0,4,2,0
CUST00066,2025-09-30,11,35,2,2,1,5,1,60
CUST00067,2025-09-30,1,3,0,0,0,4,2,5
CUST00068,2025-09-30,5,18,0,1,0,3,1,60
CUST00069,2025-09-30,9,48,1,2,0,7,1,0
CUST00070,2025-09-30,1,4,0,0,0,1,0,18
CUST00071,2025-09-30,1,3,0,0,0,6,2,12
CUST00072,2025-09-30,7,26,3,2,2,5,1,26
CUST00073,2025-09-30,7,35,1,0,0,4,1,0
CUST00074,2025-09-30,14,51,3,2,1,2,1,22
CUST00075,2025-09-30,10,43,2,1,1,0,0,13
CUST00076,2025-09-30,17,78,7,5,4,0,0,8
CUST00077,2025-09-30,0,0,0,0,0,0,0,20
CUST00078,2025-09-30,5,13,1,1,0,0,0,38
CUST00079,2025-09-30,2,8,0,0,0,0,0,31
CUST00080,2025-09-30,11,31,4,1,2,0,0,3
CUST00081,2025-09-30,12,63,4,2,1,0,0,0
CUST00082,2025-09-30,7,35,2,1,1,7,3,44
CUST00083,2025-09-30,9,43,2,1,1,0,0,17
CUST00084,2025-09-30,11,60,5,1,2,3,1,34
CUST00085,2025-09-30,8,34,0,1,0,0,0,0
CUST00086,2025-09-30,7,39,2,1,1,5,2,0
CUST00087,2025-09-30,1,4,0,0,0,0,0,15
CUST00088,2025-09-30,9,29,2,1,1,1,0,18
CUST00089,2025-09-30,12,40,1,2,0,6,3,31
CUST00090,2025-09-30,5,25,3,1,1,0,0,36
CUST00091,2025-09-30,9,51,5,2,2,0,0,11
CUST00092,2025-09-30,1,5,0,0,0,0,0,3
CUST00093,2025-09-30,16,67,7,3,3,9,4,21
CUST00094,2025-09-30,6,20,2,1,1,4,1,60
CUST00095,2025-09-30,10,57,1,2,1,2,1,7
CUST00096,2025-09-30,12,67,2,2,1,0,0,15
CUST00097,2025-09-30,0,0,0,0,0,0,0,0
CUST00098,2025-09-30,8,34,0,2,0,0,0,49
CUST00099,2025-09-30,4,17,2,1,0,5,2,27
CUST00100,2025-09-30,1,3,0,0,0,0,0,29
CUST00101,2025-09-30,2,6,1,0,1,0,0,27
CUST00102,2025-09-30,2,11,1,0,0,1,0,7
CUST00103,2025-09-30,6,18,2,1,1,4,1,0
CUST00104,2025-09-30,3,9,1,0,0,3,0,27
CUST00105,2025-09-30,1,6,0,0,0,3,0,3
CUST00106,2025-09-30,5,19,1,1,0,0,0,21
CUST00107,2025-09-30,2,8,1,0,1,0,0,10
CUST00108,2025-09-30,5,24,0,0,0,0,0,11
CUST00109,2025-09-30,1,4,0,0,0,3,1,16
CUST00110,2025-09-30,4,15,1,1,0,0,0,8
CUST00111,2025-09-30,3,14,0,0,0,1,0,33
CUST00112,2025-09-30,4,15,1,1,0,0,0,0
CUST00113,2025-09-30,17,65,2,5,0,0,0,2
CUST00114,2025-09-30,3,14,1,0,0,4,1,41
CUST00115,2025-09-30,12,51,1,2,0,10,2,23
CUST00116,2025-09-30,10,45,1,1,0,4,2,26
CUST00117,2025-09-30,2,7,1,0,0,0,0,27
CUST00118,2025-09-30,2,9,1,0,0,0,0,1
CUST00119,2025-09-30,12,63,2,2,1,0,0,1
CUST00120,2025-09-30,6,21,3,0,1,0,0,5
CUST00121,2025-09-30,5,29,2,1,1,3,1,2
CUST00122,2025-09-30,10,39,1,2,1,10,4,30
CUST00123,2025-09-30,2,6,1,0,1,0,0,23
CUST00124,2025-09-30,5,18,2,1,1,0,0,43
CUST00125,2025-09-30,0,0,0,0,0,5,1,0
CUST00126,2025-09-30,5,30,1,1,1,3,0,3
CUST00127,2025-09-30,3,13,1,0,0,0,0,15
CUST00128,2025-09-30,15,88,6,2,4,0,0,0
CUST00129,2025-09-30,7,34,3,2,2,0,0,2
CUST00130,2025-09-30,9,36,1,0,0,5,0,12
CUST00131,2025-09-30,4,12,2,1,1,5,0,14
CUST00132,2025-09-30,1,3,0,0,0,6,0,24
CUST00133,2025-09-30,5,19,0,1,0,5,1,12
CUST00134,2025-09-30,11,49,1,3,1,8,0,4
CUST00135,2025-09-30,3,10,1,0,0,4,1,60
CUST00136,2025-09-30,7,40,2,1,1,0,0,15
CUST00137,2025-09-30,4,13,2,1,1,1,0,31
CUST00138,2025-09-30,5,14,0,1,0,3,1,24
CUST00139,2025-09-30,5,17,3,0,1,0,0,10
CUST00140,2025-09-30,14,59,4,1,3,1,0,12
CUST00141,2025-09-30,4,19,1,1,0,5,1,0
CUST00142,2025-09-30,2,7,0,1,0,0,0,41
CUST00143,2025-09-30,5,23,1,1,1,2,1,9
CUST00144,2025-09-30,8,32,3,1,0,6,2,17
CUST00145,2025-09-30,0,0,0,0,0,0,0,0
CUST00146,2025-09-30,4,15,1,1,0,5,1,30
CUST00147,2025-09-30,1,3,0,0,0,0,0,29
CUST00148,2025-09-30,5,21,2,0,1,2,1,8
CUST00149,2025-09-30,8,21,3,1,2,2,0,0
CUST00150,2025-09-30,6,21,1,1,0,5,2,7
CUST00151,2025-09-30,7,31,3,1,2,5,0,4
CUST00152,2025-09-30,19,82,4,1,3,7,3,7
CUST00153,2025-09-30,6,22,2,1,1,0,0,0
CUST00154,2025-09-30,8,28,3,2,1,1,0,2
CUST00155,2025-09-30,6,26,2,1,1,0,0,11
CUST00156,2025-09-30,14,77,2,3,1,10,0,0
CUST00157,2025-09-30,3,14,1,1,0,2,1,5
CUST00158,2025-09-30,8,33,4,2,1,6,1,32
CUST00159,2025-09-30,0,0,0,0,0,1,0,60
CUST00160,2025-09-30,4,20,1,1,0,3,0,37
CUST00161,2025-09-30,7,41,4,2,2,4,1,0
CUST00162,2025-09-30,2,12,0,0,0,0,0,28
CUST00163,2025-09-30,3,13,1,1,1,5,2,19
CUST00164,2025-09-30,1,3,0,0,0,0,0,57
CUST00165,2025-09-30,2,8,0,0,0,0,0,15
CUST00166,2025-09-30,1,4,0,0,0,0,0,7
CUST00167,2025-09-30,0,0,0,0,0,2,1,31
CUST00168,2025-09-30,2,11,0,0,0,1,0,29
CUST00169,2025-09-30,1,3,0,0,0,0,0,45
CUST00170,2025-09-30,5,19,2,1,1,0,0,0
CUST00171,2025-09-30,9,27,1,0,0,1,0,3
CUST00172,2025-09-30,5,30,1,0,0,5,2,0
CUST00173,2025-09-30,10,53,4,1,2,0,0,2
CUST00174,2025-09-30,14,58,5,4,3,0,0,24
CUST00175,2025-09-30,5,27,2,0,1,2,0,14
CUST00176,2025-09-30,12,59,5,2,3,0,0,17
CUST00177,2025-09-30,12,46,1,2,0,0,0,28
CUST00178,2025-09-30,10,44,3,3,1,2,0,0
CUST00179,2025-09-30,11,55,1,2,1,5,2,21
CUST00180,2025-09-30,9,29,1,2,1,0,0,18
CUST00181,2025-09-30,7,28,2,1,1,4,1,0
CUST00182,2025-09-30,12,35,2,2,0,4,0,0
CUST00183,2025-09-30,1,6,0,0,0,4,1,26
CUST00184,2025-09-30,6,18,1,1,0,0,0,6
CUST00185,2025-09-30,11,35,1,1,1,8,1,27
CUST00186,2025-09-30,2,9,1,1,1,0,0,5
CUST00187,2025-09-30,0,0,0,0,0,3,1,17
CUST00188,2025-09-30,11,31,1,3,0,1,0,5
CUST00189,2025-09-30,10,52,4,1,1,4,0,27
CUST00190,2025-09-30,6,16,1,0,1,0,0,5
CUST00191,2025-09-30,6,35,2,1,1,2,0,11
CUST00192,2025-09-30,8,22,3,1,1,4,1,30
CUST00193,2025-09-30,3,16,1,1,1,4,2,30
CUST00194,2025-09-30,13,37,4,1,1,9,3,3
CUST00195,2025-09-30,5,25,3,0,1,0,0,0
CUST00196,2025-09-30,1,3,0,0,0,0,0,12
CUST00197,2025-09-30,11,34,1,1,0,0,0,10
CUST00198,2025-09-30,1,3,1,0,1,3,1,6
CUST00199,2025-09-30,3,12,2,0,1,0,0,0
CUST00200,2025-09-30,7,28,1,2,0,9,4,2
CUST00201,2025-09-30,3,17,1,0,0,1,0,12
CUST00202,2025-09-30,9,52,5,1,2,2,1,40
CUST00203,2025-09-30,6,31,3,2,1,2,0,28
CUST00204,2025-09-30,17,61,4,5,2,0,0,4
CUST00205,2025-09-30,13,68,4,4,3,5,0,0
CUST00206,2025-09-30,7,23,1,1,0,6,2,38
CUST00207,2025-09-30,11,53,5,1,2,6,2,7
CUST00208,2025-09-30,2,10,1,0,0,3,1,24
CUST00209,2025-09-30,3,14,0,0,0,0,0,46
CUST00210,2025-09-30,3,18,1,0,0,0,0,38
CUST00211,2025-09-30,4,20,2,1,1,1,0,9
CUST00212,2025-09-30,3,11,1,1,0,2,1,45
CUST00213,2025-09-30,2,9,0,0,0,0,0,15
CUST00214,2025-09-30,3,9,1,1,0,3,0,14
CUST00215,2025-09-30,8,24,1,2,0,8,2,15
CUST00216,2025-09-30,7,20,2,0,1,1,0,16
CUST00217,2025-09-30,2,11,1,0,0,0,0,13
CUST00218,2025-09-30,1,5,0,0,0,0,0,5
CUST00219,2025-09-30,3,8,1,1,1,6,1,30
CUST00220,2025-09-30,14,73,6,3,2,7,2,10
CUST00221,2025-09-30,16,91,2,1,0,12,2,2
CUST00222,2025-09-30,1,6,0,0,0,0,0,22
CUST00223,2025-09-30,1,6,0,0,0,0,0,20
CUST00224,2025-09-30,1,5,0,0,0,3,1,13
CUST00225,2025-09-30,3,9,1,0,0,3,0,19
CUST00226,2025-09-30,6,30,2,2,1,0,0,34
CUST00227,2025-09-30,0,0,0,0,0,0,0,29
CUST00228,2025-09-30,6,28,0,0,0,5,2,11
CUST00229,2025-09-30,8,27,1,1,0,2,0,8
CUST00230,2025-09-30,17,93,8,2,2,7,1,14
CUST00231,2025-09-30,6,30,1,1,1,0,0,0
CUST00232,2025-09-30,2,5,0,0,0,0,0,1
CUST00233,2025-09-30,5,27,0,0,0,7,1,60
CUST00234,2025-09-30,6,30,1,2,1,0,0,0
CUST00235,2025-09-30,2,12,1,0,0,4,0,29
CUST00236,2025-09-30,8,27,1,2,0,0,0,8
CUST00237,2025-09-30,8,44,3,0,1,6,1,0
CUST00238,2025-09-30,1,3,0,0,0,0,0,8
CUST00239,2025-09-30,4,20,2,1,1,2,0,60
CUST00240,2025-09-30,4,15,0,1,0,1,0,16
CUST00241,2025-09-30,12,40,1,0,1,6,1,0
CUST00242,2025-09-30,11,36,2,0,1,11,5,5
CUST00243,2025-09-30,3,17,1,0,1,0,0,22
CUST00244,2025-09-30,1,5,1,0,1,0,0,23
CUST00245,2025-09-30,6,27,3,1,1,9,4,16
CUST00246,2025-09-30,6,22,3,2,1,3,1,13
CUST00247,2025-09-30,5,13,1,0,1,5,2,14
CUST00248,2025-09-30,2,7,0,0,0,2,0,15
CUST00249,2025-09-30,5,15,2,1,1,3,1,31
CUST00250,2025-09-30,6,26,0,1,0,0,0,2
CUST00251,2025-09-30,14,76,6,1,4,0,0,9
CUST00252,2025-09-30,4,17,0,0,0,4,2,23
CUST00253,2025-09-30,3,8,1,0,0,2,1,34
CUST00254,2025-09-30,4,22,1,0,0,2,1,26
CUST00255,2025-09-30,10,26,1,3,0,5,1,19
CUST00256,2025-09-30,1,3,0,0,0,0,0,34
CUST00257,2025-09-30,7,39,2,1,1,0,0,19
CUST00258,2025-09-30,7,21,4,2,2,4,0,7
CUST00259,2025-09-30,0,0,0,0,0,0,0,31
CUST00260,2025-09-30,7,32,1,2,0,1,0,7
CUST00261,2025-09-30,0,0,0,0,0,0,0,0
CUST00262,2025-09-30,5,16,1,1,0,0,0,9
CUST00263,2025-09-30,15,63,5,3,3,8,2,11
CUST00264,2025-09-30,7,29,1,1,1,3,1,0
CUST00265,2025-09-30,7,27,3,2,2,4,0,28
CUST00266,2025-09-30,1,4,0,0,0,0,0,22
CUST00267,2025-09-30,8,21,1,1,0,0,0,11
CUST00268,2025-09-30,6,24,1,1,1,6,1,8
CUST00269,2025-09-30,11,46,3,0,2,4,1,10
CUST00270,2025-09-30,8,27,4,2,2,9,2,7
CUST00271,2025-09-30,1,5,0,0,0,2,0,0
CUST00272,2025-09-30,7,42,3,2,0,0,0,1
CUST00273,2025-09-30,7,19,3,1,2,4,1,1
CUST00274,2025-09-30,1,4,0,0,0,1,0,2
CUST00275,2025-09-30,5,27,1,1,1,5,1,51
CUST00276,2025-09-30,9,30,4,1,1,3,1,14
CUST00277,2025-09-30,2,7,0,1,0,0,0,12
CUST00278,2025-09-30,7,39,1,1,0,2,0,22
CUST00279,2025-09-30,9,38,2,2,1,5,2,0
CUST00280,2025-09-30,6,18,1,1,1,3,0,4
CUST00281,2025-09-30,3,17,1,1,0,0,0,9
CUST00282,2025-09-30,1,5,0,0,0,0,0,60
CUST00283,2025-09-30,8,21,1,1,1,0,0,6
CUST00284,2025-09-30,1,5,1,0,1,4,1,60
CUST00285,2025-09-30,10,34,1,3,1,0,0,16
CUST00286,2025-09-30,1,4,1,0,1,3,1,60
CUST00287,2025-09-30,8,21,3,0,2,4,1,15
CUST00288,2025-09-30,1,4,0,0,0,0,0,20
CUST00289,2025-09-30,5,13,1,0,0,3,0,0
CUST00290,2025-09-30,6,22,3,1,1,0,0,1
CUST00291,2025-09-30,4,16,1,1,1,4,1,23
CUST00292,2025-09-30,6,22,0,1,0,7,2,0
CUST00293,2025-09-30,3,9,1,0,1,8,0,59
CUST00294,2025-09-30,15,54,6,3,2,12,6,35
CUST00295,2025-09-30,2,9,0,0,0,0,0,5
CUST00296,2025-09-30,2,10,1,0,1,0,0,30
CUST00297,2025-09-30,13,41,1,3,1,6,2,30
CUST00298,2025-09-30,6,16,3,2,2,5,2,50
CUST00299,2025-09-30,0,0,0,0,0,0,0,60
CUST00300,2025-09-30,5,30,0,1,0,0,0,1
CUST00301,2025-09-30,7,26,1,0,1,0,0,13
CUST00302,2025-09-30,4,12,2,1,1,6,2,27
CUST00303,2025-09-30,6,31,1,0,0,2,1,12
CUST00304,2025-09-30,4,19,1,1,1,8,3,5
CUST00305,2025-09-30,6,23,2,0,1,1,0,33
CUST00306,2025-09-30,2,10,0,0,0,6,2,0
CUST00307,2025-09-30,0,0,0,0,0,2,0,13
CUST00308,2025-09-30,7,33,1,1,0,3,1,27
CUST00309,2025-09-30,13,43,2,4,1,8,1,12
CUST00310,2025-09-30,5,30,2,1,1,2,0,8
CUST00311,2025-09-30,4,12,2,1,0,0,0,0
CUST00312,2025-09-30,9,31,2,1,1,0,0,7
CUST00313,2025-09-30,16,54,1,2,1,2,0,37
CUST00314,2025-09-30,0,0,0,0,0,0,0,14
CUST00315,2025-09-30,11,43,5,3,1,10,4,0
CUST00316,2025-09-30,1,6,0,0,0,7,2,30
CUST00317,2025-09-30,8,43,2,2,1,0,0,25
CUST00318,2025-09-30,2,7,1,0,0,6,0,8
CUST00319,2025-09-30,0,0,0,0,0,0,0,29
CUST00320,2025-09-30,10,27,5,1,1,6,1,19
CUST00321,2025-09-30,1,5,0,0,0,4,2,20
CUST00322,2025-09-30,5,19,0,0,0,1,0,2
CUST00323,2025-09-30,6,19,2,1,1,3,0,9
CUST00324,2025-09-30,0,0,0,0,0,1,0,60
CUST00325,2025-09-30,6,22,1,2,0,9,1,7
CUST00326,2025-09-30,7,26,3,2,1,7,3,26
CUST00327,2025-09-30,7,30,1,1,1,8,1,14
CUST00328,2025-09-30,2,7,0,0,0,2,0,60
CUST00329,2025-09-30,1,4,0,0,0,0,0,0
CUST00330,2025-09-30,1,5,0,0,0,0,0,12
CUST00331,2025-09-30,1,6,0,0,0,0,0,27
CUST00332,2025-09-30,0,0,0,0,0,3,0,6
CUST00333,2025-09-30,3,14,1,0,1,0,0,21
CUST00334,2025-09-30,2,6,0,0,0,0,0,29
CUST00335,2025-09-30,7,40,1,1,0,3,1,22
CUST00336,2025-09-30,5,16,2,0,1,0,0,2
CUST00337,2025-09-30,2,11,1,1,1,1,0,9
CUST00338,2025-09-30,6,31,2,1,0,0,0,8
CUST00339,2025-09-30,13,36,4,1,1,0,0,12
CUST00340,2025-09-30,8,36,2,1,1,2,1,10
CUST00341,2025-09-30,11,33,3,3,2,0,0,5
CUST00342,2025-09-30,9,42,1,2,0,3,0,4
CUST00343,2025-09-30,7,39,4,1,2,2,1,20
CUST00344,2025-09-30,5,15,2,1,1,0,0,41
CUST00345,2025-09-30,15,71,4,1,2,5,0,0
CUST00346,2025-09-30,13,69,5,3,2,5,1,7
CUST00347,2025-09-30,8,44,2,2,1,5,1,45
CUST00348,2025-09-30,14,49,5,1,1,4,2,4
CUST00349,2025-09-30,2,11,1,0,0,0,0,18
CUST00350,2025-09-30,18,46,4,3,3,10,0,0
CUST00351,2025-09-30,4,14,2,0,1,3,0,1
CUST00352,2025-09-30,13,42,6,2,2,6,1,16
CUST00353,2025-09-30,4,22,1,1,0,3,1,27
CUST00354,2025-09-30,4,24,1,0,0,3,1,16
CUST00355,2025-09-30,4,14,2,0,1,5,2,32
CUST00356,2025-09-30,10,44,4,2,1,4,1,7
CUST00357,2025-09-30,9,53,4,1,2,8,1,2
CUST00358,2025-09-30,4,17,1,0,1,4,0,1
CUST00359,2025-09-30,0,0,0,0,0,4,0,0
CUST00360,2025-09-30,1,6,0,0,0,0,0,0
CUST00361,2025-09-30,3,13,1,1,0,2,1,20
CUST00362,2025-09-30,12,66,2,1,1,3,0,7
CUST00363,2025-09-30,2,11,1,0,0,0,0,5
CUST00364,2025-09-30,0,0,0,0,0,0,0,60
CUST00365,2025-09-30,7,31,3,2,2,0,0,21
CUST00366,2025-09-30,2,6,1,0,0,0,0,26
CUST00367,2025-09-30,1,3,0,0,0,5,1,33
CUST00368,2025-09-30,7,32,2,1,1,1,0,12
CUST00369,2025-09-30,7,23,1,1,0,2,1,0
CUST00370,2025-09-30,8,25,1,0,1,5,1,29
CUST00371,2025-09-30,4,15,1,0,1,0,0,10
CUST00372,2025-09-30,2,11,1,1,0,0,0,18
CUST00373,2025-09-30,9,37,4,1,2,6,1,20
CUST00374,2025-09-30,0,0,0,0,0,6,3,44
CUST00375,2025-09-30,2,7,1,1,0,0,0,17
CUST00376,2025-09-30,5,25,1,1,1,1,0,12
CUST00377,2025-09-30,10,41,3,3,0,7,0,16
CUST00378,2025-09-30,4,10,2,0,1,1,0,1
CUST00379,2025-09-30,2,11,1,0,1,0,0,4
CUST00380,2025-09-30,8,25,4,1,2,2,0,0
CUST00381,2025-09-30,2,7,0,0,0,0,0,32
CUST00382,2025-09-30,6,16,2,1,1,0,0,7
CUST00383,2025-09-30,14,59,7,1,3,5,1,1
CUST00384,2025-09-30,0,0,0,0,0,1,0,0
CUST00385,2025-09-30,6,29,2,0,1,3,1,25
CUST00386,2025-09-30,13,64,6,1,3,4,2,1
CUST00387,2025-09-30,1,6,0,0,0,0,0,2
CUST00388,2025-09-30,6,16,0,1,0,8,3,0
CUST00389,2025-09-30,11,50,1,2,0,4,2,14
CUST00390,2025-09-30,4,15,2,1,1,5,1,5
CUST00391,2025-09-30,4,15,1,0,0,0,0,0
CUST00392,2025-09-30,4,17,1,1,1,4,1,34
CUST00393,2025-09-30,5,28,2,1,1,5,1,18
CUST00394,2025-09-30,12,44,2,3,0,0,0,4
CUST00395,2025-09-30,12,62,4,2,1,0,0,13
